ID,TenViet,Pinyin,TenKhoaHoc,PhanLoai,Tinh,Vi,QuyKinh,LieuDung
nhan-sam,Nhân Sâm,Rén Shēn,Panax ginseng,Bổ Khí,Ôn,Ngọt - Hơi Đắng,"Tỳ, Phế, Tâm",3-10g
hoang-ky,Hoàng Kỳ,Huáng Qí,Astragalus membranaceus,Bổ Khí,Ôn,Ngọt,"Tỳ, Phế",10-30g
bach-truat,Bạch Truật,Bái Zhú,Atractylodes macrocephala,Bổ Khí - Kiện Tỳ,Ôn,Ngọt - Đắng,"Tỳ, Vị",6-15g
cam-thao,Cam Thảo,Gān Cǎo,Glycyrrhiza uralensis,Bổ Khí - Điều Hòa,Bình,Ngọt,"Tâm, Phế, Tỳ, Vị",3-10g
thuc-dia,Thục Địa Hoàng,Shú Dì Huáng,Rehmannia glutinosa,Bổ Huyết - Tư Âm,Hơi Ôn,Ngọt,"Can, Thận",10-30g
duong-quy,Đương Quy,Dāng Guī,Angelica sinensis,Bổ Huyết - Hoạt Huyết,Ôn,Ngọt - Cay,"Can, Tâm, Tỳ",6-12g
