STT,Mã ICD-10,Tên bệnh (Tiếng Việt),Chương,Khối mã,Không làm bệnh chính,Chỉ Nữ,Chỉ Nam
30,A04.5,Campylobacter Viêm ruột do vi khuẩn parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do enteritis Campylobacter infections vi khuẩn khác,I,A00-B99,0,0,0
31,A04.6,Enteritis due to Excl.: extraintestinal Viêm ruột do vi khuẩn - Loại trừ: nhiễm parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do Yersinia yersiniosis (A28.2) Yersinia ente,I,A00-B99,0,0,0
32,A04.7,Enterocolitis due Foodborne intoxication Viêm ruột do vi khuẩn - Nhiễm độc thực parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do to Clostridium by Clostridium difficile Cl,I,A00-B99,0,0,0
33,A04.8,Other specified Nhiễm trùng đường ruột parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do bacterial intestinal do vi khuẩn xác định khác infections vi khuẩn khác infections,I,A00-B99,0,0,0
34,A04.9,"Bacterial intestinal Bacterial enteritis NOS Nhiễm trùng đường ruột Viêm ruột do vi parasitic diseases ký sinh trùng diseases đường ruột intestinal đường ruột do infection, do vi khuẩn, không xác khuẩ",I,A00-B99,0,0,0
35,A05,"Other bacterial Excl.: Clostridium Ngộ độc thực phẩm do vi - Loại trừ: nhiễm A05 parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi foodborne difficile foodborne khuẩn khác, khô",I,A00-B99,0,0,0
36,A05.0,"Foodborne Ngộ độc thực phẩm do độc parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi staphylococcal tố tụ cầu intoxications, not khuẩn khác, intoxication elsewhere không phân l",I,A00-B99,0,0,0
37,A05.1,"Botulism Classical foodborne Ngộ độc botulinum Nhiễm độc thực parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi intoxication due to phẩm cổ điển do intoxications, not khuẩn khá",I,A00-B99,0,0,0
38,A05.2,Foodborne Enteritis necroticans Ngộ độc thực phẩm do - Viêm ruột hoại tử parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi Clostridium Pig-bel Clostridium perfringens - Pig-bel,I,A00-B99,0,0,0
39,A05.3,"Foodborne Vibrio Ngộ độc thực phẩm do parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi parahaemolyticus Vibrio Parahaemolyticus intoxications, not khuẩn khác, intoxication els",I,A00-B99,0,0,0
40,A05.4,"Foodborne Bacillus Ngộ độc thực phẩm do parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi cereus intoxication Bacillus cereus intoxications, not khuẩn khác, elsewhere không phâ",I,A00-B99,0,0,0
41,A05.8,"Other specified Ngộ độc thực phẩm do vi parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi bacterial khuẩn xác định khác intoxications, not khuẩn khác, foodborne elsewhere không",I,A00-B99,0,0,0
42,A05.9,"Bacterial Ngộ độc thực phẩm do vi parasitic diseases ký sinh trùng diseases đường ruột foodborne phẩm do vi foodborne khuẩn, không xác định intoxications, not khuẩn khác, intoxication, elsewhere không",I,A00-B99,0,0,0
43,A06,Amoebiasis Incl.: infection due to Bệnh lỵ a-míp - Bao gồm: nhiễm A06 parasitic diseases ký sinh trùng diseases đường ruột Entamoeba histolytica trùng do Excl.: other protozoal Entamoeba intestinal di,I,A00-B99,0,0,0
44,A06.0,Acute amoebic Acute amoebiasis Bệnh lỵ a-míp cấp tính - Bệnh lỵ a-míp cấp parasitic diseases ký sinh trùng diseases đường ruột dysentery Intestinal amoebiasis tính NOS - Bệnh lỵ a-míp đường ruột không,I,A00-B99,0,0,0
45,A06.1,Chronic intestinal Bệnh lỵ a-míp đường ruột parasitic diseases ký sinh trùng diseases đường ruột amoebiasis mạn tính,I,A00-B99,0,0,0
